projection_date,projected_months,mean,std,median,mean-1std,mean+1std,projected_date,actual_rate,actual_rate_direction,classification,mean_v_median,median_accuracy
2022-01-14,3,4.631578947368422,0.46765964937432447,4.75,4.163919297994098,5.0992385967427465,2022-04-14,5.0,Increasing,Within 1 std,0.11842105263157787,0
2022-02-15,3,5.900000000000001,0.63750314227481,6.0,5.262496857725191,6.5375031422748116,2022-05-15,6.0,Increasing,Within 1 std,0.09999999999999876,1
2022-03-15,3,6.825,0.7766628150009038,7.000000000000001,6.048337184999096,7.601662815000904,2022-06-15,6.0,Neutral,Below Mean - 1 std,0.1750000000000007,0
2022-04-11,3,7.475,0.5655720952025435,7.5,6.9094279047974565,8.040572095202544,2022-07-11,7.5,Increasing,Within 1 std,0.025000000000000355,1
2022-05-13,3,7.993589743589746,0.5515742407418357,8.0,7.4420155028479105,8.545163984331582,2022-08-13,9.0,Increasing,Above Mean + 1 std,0.006410256410253723,0
2022-06-15,3,8.412790697674417,0.6359369749447523,8.5,7.776853722729665,9.048727672619169,2022-09-15,9.0,Neutral,Within 1 std,0.08720930232558288,0
2022-07-14,3,9.202564102564104,0.6088112573684192,9.0,8.593752845195684,9.811375359932523,2022-10-14,10.0,Increasing,Above Mean + 1 std,0.20256410256410362,0
2022-08-12,3,10.031250000000004,0.43921367675216316,10.0,9.592036323247841,10.470463676752166,2022-11-12,11.0,Increasing,Above Mean + 1 std,0.03125000000000355,0
2022-09-14,3,11.037500000000005,0.6853550455505076,11.0,10.352144954449498,11.722855045550512,2022-12-14,11.0,Neutral,Within 1 std,0.037500000000004974,1
2022-10-14,3,11.365384615384624,0.5816439775319523,11.5,10.783740637852672,11.947028592916576,2023-01-14,12.0,Increasing,Above Mean + 1 std,0.13461538461537614,0
2022-11-15,3,12.139705882352946,0.43602533491945417,12.0,11.70368054743349,12.5757312172724,2023-02-15,12.75,Increasing,Above Mean + 1 std,0.13970588235294557,0
2022-12-13,3,12.371428571428572,0.43033600317688064,12.5,11.94109256825169,12.801764574605453,2023-03-13,12.75,Neutral,Within 1 std,0.12857142857142811,0
2023-01-13,3,13.08333333333333,0.4225771273642585,13.0,12.660756205969072,13.505910460697589,2023-04-13,13.0,Increasing,Within 1 std,0.08333333333333037,1
2023-02-14,3,13.222972972972968,0.2812656402057679,13.25,12.9417073327672,13.504238613178737,2023-05-14,13.25,Increasing,Within 1 std,0.027027027027031636,1
2023-03-15,3,13.100000000000001,0.359738467092251,13.25,12.74026153290775,13.459738467092253,2023-06-15,,,Below Mean - 1 std,0.14999999999999858,0
2023-04-14,3,12.892857142857142,0.4936572484949422,13.0,12.3991998943622,13.386514391352085,2023-07-14,,,Below Mean - 1 std,0.10714285714285765,0
2023-05-15,3,13.202702702702704,0.2876982277843755,13.25,12.915004474918328,13.490400930487079,2023-08-15,,,Below Mean - 1 std,0.04729729729729648,0
2014-07-01,6,4.689024390243903,0.2668127140715824,4.75,4.422211676172321,4.955837104315485,2015-01-01,4.5,Neutral,Within 1 std,0.06097560975609717,0
2014-08-01,6,4.807692307692308,0.2718209698976762,4.75,4.5358713377946325,5.079513277589984,2015-02-01,4.5,Neutral,Below Mean - 1 std,0.057692307692308376,0
2014-09-01,6,4.908536585365854,0.30493901829390224,5.0,4.603597567071952,5.213475603659757,2015-03-01,4.5,Neutral,Below Mean - 1 std,0.09146341463414576,0
2014-10-01,6,4.775641025641026,0.28559075312867643,4.75,4.49005027251235,5.061231778769703,2015-04-01,4.5,Neutral,Within 1 std,0.025641025641026438,0
2014-11-01,6,4.708333333333334,0.25704363164923705,4.75,4.451289701684097,4.965376964982571,2015-05-01,4.5,Neutral,Within 1 std,0.041666666666666075,0
2014-12-01,6,4.4459459459459465,0.28342605795926795,4.5,4.1625198879866785,4.7293720039052145,2015-06-01,4.5,Neutral,Within 1 std,0.0540540540540535,1
2015-01-01,6,4.451219512195122,0.26350706937339674,4.5,4.187712442821725,4.714726581568518,2015-07-01,4.5,Neutral,Within 1 std,0.04878048780487809,1
